Hotel name,Price,Rating
SmartRental Madrid Gran Via Apartments,563,8.7
Hostal Montecarlo,340,8.3
Living Atocha Apartments,,8.7
Eurostars Madrid Tower,673,8.6
Pension Cuatro Torres,220,7.4
INTER Puerta del Sol,210,6.6
Exe Moncloa,532,8.3
Toc Hostel Madrid,528,9
Visitor's Book,608,9.8
Santa María en Letras,,8.9
Aparthotel Quo Eraso,328,8
Hotel Princesa Plaza Madrid,510,8.1
Arizonica Suites,440,9.1
Hotel Mirador Puerta del Sol,348,8.6
La Posada de El Chaflán,200,6.6
Hostal Cervelo,346,8.7
Ático Infantas II,531,8.9
117 de LaLatina,,9.3
Hostal Victoria I,284,8.3
Homelike Lavapiés,409,
Ok Hostel Madrid,427,9.3
Arenal Rooms,107,6.8
Hotel Life Gran Via,332,8
Clement Barajas,500,8.7
Casa Arriaza,,9.1
ibis budget Madrid Centro Lavapies,305,8
Hostal A Nuestra Senora de La Paloma,198,8.2
Home Club Hermosilla XIX,1428,9.5
Hostal Valencia Madrid,3676,8
Roble,198,8.8
Eric Vökel Boutique Apartments - Atocha Suites,608,9
Exclusivo y céntrico apartamento de 2 habitaciones en Malasaña,,9
Madrid Centro La Latina Plaza Mayor,888,7.3
Barco rooms,105,5.6
Hostal Abel Victoriano,250,8.8
Hostal Castilla I Atocha,300,8.3
Hostal Cibeles,240,7.3
NeoMagna Madrid,406,7.9
Apartamento entero en centro de Madrid,,9.4
Village Apartments Malasaña,290,7.4
San Bernardo Rooms,160,8.3
Village Love Madrid,290,8.3
OYO Hostal Carabanchel,194,6.1
Senator Barajas,374,7.9
Hostal Chelo,300,8.4
Colibri Host,160,6.3
Valentina,,9.4
Hotel Indigo Madrid - Princesa,432,8.1
Apartamentos Madrid Centro W,686,9.2
Rooms Metropolitano CC,302,
Petit Palace Cliper-Gran Vía,439,8.2
Olala Style Apartments,734,8.7
JC Rooms Chueca,304,8.6
Royal Family,,7.8
Hostal Lisboa,384,8.8
Hotel Nuevo Boston,505,8.7
TH La Florida,258,7.5
Slow Suites Gran Vía,770,8.9
Hostal Alicante,288,7.7
Hostal Granado,260,8.3
Madrid Central,,
Agora Juan de Austria,385,8.3
Hostal Biarritz,280,8.7
A&Z JAVIER CABRINI,240,7.9
Hostal Sol Square Madrid,355,8.5
Hotel Mora,510,8.1
Hostal Comercial,239,8.1
APARTMENT TURIST MADRID TETUÁN BERNABÉU,,8.9
Centro Gta Embajadores Sebastian el Cano,380,8.6
THC Bergantin Hostel,297,8.3
Hostal La Bañezana,206,8.1
Velázquez 45 by Pillow,432,8.9
Woohoo Rooms Fuencarral,260,
Hostal Salamanca,232,8.1
Ibis Styles Madrid City Las Ventas,350,8.9
Artistic,,7.6
A&Z VILLEGAS,249,7.5
Aparthotel Tribunal,294,7.3
Hostal Alexis Madrid,320,9.2
Hostal Overnight Madrid,324,8.6
Fuencarral Kryse,192,7.1
Apartamento Bailen,279,6.9
El Pozo-Villalobos Suite,,8.7
Suites You Nickel,340,8.1
Apartamentos Madrid Huertas,344,8.7
Hotel Sancho,486,8.7
Hostal Zamora,236,8.7
Hostal Besaya,360,8.3
Abba Madrid,338,8.7
Amazing and new apartment five minutes from gran via,,9.4
alojamiento silvie la puce,280,8.4
Hotel Regina,540,9.1
Plaza Mayor's cozy and modern 2BDR apartment with balcony,663,
Friendly Rentals Gran Via,456,8.5
Hostal Estrella,180,6.2
Apartamentos Moratín Las Letras,458,8.7
Apartamento Mauricio Legendre 16,,7.4
Veracruz Puerta del Sol,206,8.4
Suites You Zinc,330,8.1
Gran Via Suites,502,8.8
PYR Select Ronda de Atocha I,323,7.5
NH Madrid Atocha,626,8.4
Luxury Suites,720,9
SmartRental La Latina,317,7.4
Ático de Mowgli - SOL,,9.5
(Carmen) Modern & luxury space near plaza mayor,403,8.1
Apartamento Silvela,376,6.5
Hostal Montaloya,208,8.4
NH Collection Madrid Colón,678,8.9
Hostal Emilio Barajas,236,5.8
SmartRental Puerta del Sol,528,8.5
Lavapiés Classy,,9
Hostal Abaaly,184,8.2
Hostal Diaz,240,7.4
Friendly Rentals Olavide,386,8.3
Woohoo Rooms Chueca,356,9.2
Barbieri Sol Hostel,258,8
Arenal Suites Preciados,400,9.2
Alcala Goya,,9.6
Hostal Hispalense,247,8.4
Hostal Meyra,252,8.9
Hostal Abitum Madrid,279,7.9
Puerta del Sol Apartment,490,7.4
Dobo Rooms Juan Bravo I,922,9.2
Apartamentos Argüelles,285,7.4
Vallehouse,,9.1
Ibis Madrid Centro las Ventas,282,8.6
Hostal Mendoza,340,8.8
Apartamentos Alcalá 55,617,9.3
El Rincón de Espronceda,478,5.9
Home Club Jorge Juan VII,1053,9.2
Hostal Abadia Madrid,335,8.3
Ibis Styles Madrid Prado,603,8.8
Hostal Los Alpes,,8.8
Hotel Freedom,430,8.8
Ilunion Pio XII,307,8.3
Slow Suites Augusto,720,8.8
CH Otello Rooms - Madrid,250,7.9
Latina Sol,730,8.9
BELLADURMIENTE,240,
Apartamento San Bernardo,,5.8
Hostal Palacios Fuencarral,276,7.2
Concepción Jerónima,418,8.7
A&Z SIERRA DE MEIRA,179,7.4
Home Art Apartments,655,9
Hostal Ballesta,312,8.4
Hostal María Luisa,210,8
BNBHolder Great & Well-Connected PRINCIPE PIO,,8.2
Hostal La Nava,328,8
Hotel Mexico,380,8.1
Canaan Boutique Apartments Madrid,720,9
B&B Hotel Madrid Aeropuerto T1 T2 T3,268,8.2
diezmadrid,1200,8.9
Hostal Abril Madrid,248,8.8
"Atico Terraza ""La Fábula de Sol""",,9.7
Madrid Marriott Auditorium Hotel & Conference Center,916,9
Hostal San Lorenzo,300,8.2
Hostal Josefina,291,7.5
Apartamentos El Tiempo Madrid,468,8.3
Madrisol,356,7.3
Petit Palace Arenal,439,8.7
CH Arriaza II,270,7.3
Fabuloso apartamento en Calle Mayor 44,,8.9
The Walt Madrid,360,8.9
Golden 21,240,6.6
Far Home Plaza Mayor,220,8.4
Centro Goya Apartamento,264,6.3
One Shot Luchana 22,419,8.4
Village Vallecas Madrid,290,7.1
Apartment Velarde,,9.5
PRECIOSO LOFT EN LA LATINA,640,8.4
Senator Castellana,413,8.3
Hostal Armesto,196,8.4
EXCLUSIVE LUXURY SOL I - ELEVENHOST,910,9
B&B Hotel Madrid Centro Fuencarral 52,448,9.1
