Hotel name,Price,Rating
Hostal Montaloya,45.0,8.0
JC Rooms Santa Ana,65.0,8.0
Hostal Bruna,70.0,8.0
LM Rooms,57.0,8.0
Hostal Rober,54.0,9.0
Roisa Centro,78.0,7.0
Hostal Pizarro,51.0,8.0
Erase un Hotel,72.0,7.0
Hostal Riesco Puerta del Sol,82.0,8.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Room Mate Macarena - Gran Via,127.0,10.0
Petit Hostel Madrid,119.0,10.0
Woohoo Suites,59.0,10.0
Suite Prado Hotel,141.0,8.0
AC Hotel Cuzco,148.0,8.0
Only YOU Hotel Atocha,207.0,10.0
Pension Meyra,57.0,9.0
Koko Aeropuerto,64.0,10.0
Apartamentos Palacio Real,95.0,8.0
Hostal Far Home Plaza Mayor,50.0,8.0
Aparthotel EnCasa,59.0,8.0
Hostal Granado,59.0,8.0
Apartamentos Mayor Centro,86.0,8.0
Jc Rooms Jardines,69.0,8.0
SmartRental Chueca,85.0,9.0
THC Bergantin Hostel,68.0,8.0
Hostal Castilla II,78.0,7.0
Hostal Victoria II,65.0,7.0
THC Gran Via Hostel,59.0,7.0
HRC Hotel,72.0,8.0
Hostal Marlasca,59.0,7.0
Hostal Santa Cruz,59.0,9.0
NH Madrid Sur,98.0,8.0
Hostal Sil & Serranos,72.0,9.0
Hotel Anaco,69.0,6.0
Plaza D'ort,52.0,7.0
La Posada de Cercedillaventura,46.0,8.0
Hostal Sonsoles,63.0,8.0
Hostal Los Alpes,56.0,8.0
Hostal Oporto,57.0,8.0
TRYP Madrid Chamberi Hotel,95.0,7.0
Relais & Chateaux Hotel Orfila,298.0,10.0
"Circulo Gran Via, Autograph Collection",261.0,9.0
Recoletos House,193.0,9.0
AC Hotel Recoletos,201.0,8.0
MH Apartments Central Madrid,122.0,9.0
Gran Via Suites,114.0,8.0
Only YOU Hotel Atocha,207.0,10.0
CriteriaHome,44.0,9.0
Hostal Anton Martin,79.0,9.0
Horoko,85.0,9.0
Hostal Fuencarral Rooms Madrid,68.0,9.0
Behap Madrid De Las Letras,80.0,8.0
AC Hotel Aitana,132.0,8.0
Hostal La Selecta,68.0,9.0
Hostal Puerta Bonita,50.0,9.0
Pension Numancia,55.0,9.0
Hostal Adria Santa Ana,65.0,8.0
Hotel Avenida Gran Via,78.0,6.0
Hostal Nuestra Senora de la Paloma,45.0,7.0
Hostal Madrid Star,81.0,8.0
Mexico,86.0,7.0
Hostal Miami,44.0,6.0
Hostalin Madrid Atocha,50.0,8.0
Hostal Benamar,63.0,9.0
C. H. Chelo,68.0,9.0
JC Chueca,128.0,8.0
Suites You Zinc,83.0,7.0
Hostal Armesto,45.0,8.0
Hostal El Pasaje,52.0,7.0
TH La Florida,64.0,6.0
Hostal Alonso,32.0,8.0
Hostal Residencia Fernandez,38.0,7.0
Relais & Chateaux Hotel Orfila,298.0,10.0
For You Apartments Madrid,184.0,10.0
60 Balconies Recoletos,231.0,9.0
Feelathome Madrid Suites Apartments,167.0,10.0
Hotel Lavapies,200.0,7.0
Soho Boutique Opera & Spa,140.0,9.0
Only YOU Hotel Atocha,207.0,10.0
Saga Rental La Latina,171.0,8.0
Ibis Styles Madrid City Las Ventas Hotel,69.0,10.0
Suites Barrio de Salamanca Hotel,138.0,8.0
Arizonica,100.0,9.0
OYO Hostal Felipe V,77.0,8.0
Aspasios Atocha Apartments,121.0,8.0
Woohoo Rooms Chueca,81.0,8.0
Santa Ana Apartamentos,82.0,7.0
Hotel Freedom,108.0,7.0
CC Atocha,83.0,8.0
Hostal Lido,63.0,8.0
Hostal Montecarlo,77.0,8.0
Malasana Central Suites,112.0,8.0
Aparthotel Avenida de America,72.0,9.0
Hostal Los Coronales,67.0,8.0
Hostal Josefina,72.0,7.0
Hostal Triana,55.0,9.0
Hostel Santa Ana Colors,78.0,8.0
Golden Alcala,54.0,7.0
Hostal Mendoza Madrid,77.0,8.0
Hostal Aeropuerto,59.0,7.0
Hostal Avenida Barajas,55.0,8.0
Apartamentos Leganitos,76.0,7.0
Aparthotel Quo Eraso,71.0,7.0
Hostal Valencia,908.0,7.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Hostal Condestable,288.0,6.0
Slow Suites Bellas Artes,181.0,9.0
SYTB&B Luxury Bed And Breakfast,144.0,10.0
The First One Boutique Hotel,237.0,8.0
AC Hotel Coslada Aeropuerto,101.0,7.0
Only YOU Hotel Atocha,207.0,10.0
Escala Opera,114.0,8.0
Los Amigos VIP Rooms,91.0,9.0
Suites You Mercury,83.0,8.0
Hostal Hispano-Argentino,86.0,7.0
Hostal Excelsior,53.0,7.0
Urban Vida Calatrava,79.0,6.0
Alvaro Residencia,43.0,9.0
Hostal Milan,59.0,8.0
Hostal 4C Cuatro Caminos,90.0,8.0
SmartRental Chueca II,92.0,7.0
Hostel One Madrid,94.0,10.0
Hospedaje Los Rosales,47.0,7.0
Hostal La Banezana,47.0,8.0
Hostal Internacional,52.0,8.0
Hola Rooms,70.0,9.0
Hostal San Antonio,44.0,8.0
Hostal Meeting Point,82.0,7.0
Hostal Pacios,35.0,6.0
Hotel Los 5 Pinos,52.0,8.0
Hostel Viky,52.0,7.0
Hostal Victoria I,65.0,8.0
Hostal Paquita,50.0,7.0
Casa de Huespedes Cuenca,32.0,7.0
Far Home Hostels,81.0,8.0
Amor de Dios 17 Boutique Hotel,618.0,9.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Gran Central Suites,90.0,10.0
Hostal Splendid,73.0,8.0
Apartamentos Moratin Las Letras,100.0,7.0
Hostal Overnight Madrid,74.0,9.0
Hostal Rias Bajas,55.0,8.0
Only YOU Hotel Atocha,207.0,10.0
Pension Magdalena,95.0,8.0
Plaza Mayor Suites & Apartments,90.0,9.0
Apartamentos En Sol,73.0,8.0
Apartamentos Duque de Alba,77.0,7.0
HS Avarooms,47.0,9.0
Analina Rooms,52.0,7.0
Hostal El Brezo,54.0,8.0
Las Tejas Apartments,70.0,7.0
Hostal Sol Square,81.0,9.0
Hostal La Nava,75.0,8.0
Hostal Biarritz,64.0,8.0
Hostal Residencia Americano,64.0,6.0
Abalu Suites Madrid,90.0,6.0
Hostal Edreira,66.0,8.0
Residencia Universitaria Erasmo,64.0,7.0
Hostal Maria Luisa,48.0,8.0
Hostal Esmeralda,59.0,8.0
Hostal Aguilar,73.0,8.0
OYO Hostal Las Murallas,60.0,7.0
Hostal Aresol,59.0,8.0
Hostel Apolo XI,55.0,8.0
Hostal Abril,56.0,8.0
THC Tirso de Molina,68.0,8.0
Pension Cuatro Torres,50.0,7.0
Hostal San Martin,41.0,8.0
Relais & Chateaux Hotel Orfila,298.0,10.0
I Love Madrid Hostel,307.0,6.0
Casa Malasana,191.0,10.0
La Llave De Madrid,96.0,10.0
Gran Via Suites III,99.0,10.0
Hotel Sancho,120.0,8.0
Only YOU Hotel Atocha,207.0,10.0
Home Club San Joaquin Apartments,129.0,9.0
Fuencarral Apartments,99.0,8.0
Marogo La Latina,90.0,9.0
Hostal Carmen,99.0,8.0
Bloom Inn Madrid,82.0,9.0
Apartments Center Madrid,90.0,8.0
Hostal Nersan,63.0,7.0
Prado Apartamentos,64.0,7.0
Hostal Nersan II,53.0,7.0
Hostal Regio,50.0,8.0
Hostal Alicante,66.0,6.0
Hostal Hispalense,56.0,8.0
Hostal America,57.0,7.0
Hostal Cervantes,58.0,7.0
Hostal Rivera,41.0,6.0
Hostal Olmedo,54.0,7.0
Plaza Mayor Apartments,80.0,7.0
Hostal Tokio,43.0,8.0
Hostal Rofer,47.0,8.0
Hostal Loyola,38.0,6.0
AC Hotel Aravaca,87.0,6.0
Hostal Pio,79.0,8.0
Pension Mollo,53.0,8.0
Hostal Sabatini,70.0,8.0
Hostal Jemasaca-Palma61,58.0,7.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Olala Style Apartments,175.0,10.0
Palafox Central Suites,160.0,9.0
Los Jeronimos,155.0,8.0
Dflat Madrid Puerta del Sol Apartments,138.0,6.0
Apartamentos El Puente,57.0,10.0
Only YOU Hotel Atocha,207.0,10.0
San Bernardo Rooms,119.0,7.0
Apartamento Garcia Paredes,86.0,9.0
Hostal Gallardo,93.0,7.0
Casa Boutique Chueca,109.0,8.0
Silva Suites,88.0,8.0
OYO Hello Ifema,56.0,7.0
Casa Chueca Hostal,108.0,7.0
Madrid Centro Turist,59.0,9.0
Hostal Don Alfonso,77.0,8.0
Pension Corbero,73.0,9.0
Hostel Almansa,35.0,6.0
Hostal Avenida,79.0,8.0
Apartamentos Alcala,72.0,7.0
Huespedes Marisol,63.0,8.0
Hostal del Pez Azul,59.0,7.0
Alojamiento Santa Rosa,68.0,8.0
Hostal Adis,67.0,8.0
Hostal JQ Madrid 1,56.0,7.0
Hostal Olga,59.0,8.0
Hostal Ana Belen,74.0,8.0
Hostal Rincon de Sol,69.0,7.0
Hostal Castilla I,68.0,7.0
Hostal Abaaly,40.0,8.0
Hostal San Blas,54.0,6.0
Hostal Alaska,45.0,8.0
Relais & Chateaux Hotel Orfila,298.0,10.0
Home Suite Home Alfonso Apartments,185.0,10.0
Apartamentos Madrid Centro,156.0,10.0
Madrid Centro La Latina Plaza Mayor,222.0,8.0
Charming Museo Del Prado,147.0,10.0
Canaan Boutique Apartments,147.0,9.0
Only YOU Hotel Atocha,207.0,10.0
Alma Suites,122.0,10.0
Atocha 95,115.0,10.0
